,County,Ocean Proximity,Population,Households,Average Income,Average House Value
0,Alameda,<1H OCEAN,1257144,475074,43726,228486
1,Alpine,INLAND,1113,450,26139,118700
2,Amador,INLAND,30039,10518,31065,117146
3,Butte,INLAND,182120,71665,23777,90108
4,Calaveras,INLAND,31998,12649,28146,107894
5,Colusa,INLAND,16275,5612,26073,78364
6,Contra Costa,<1H OCEAN,805315,301861,50644,233896
7,Del Norte,<1H OCEAN,23453,7987,24163,92288
8,El Dorado,INLAND,123513,45832,34418,147732
9,Fresno,INLAND,658377,218167,29646,86713
10,Glenn,INLAND,24798,8821,24007,72277
11,Humboldt,<1H OCEAN,118244,46094,25336,90374
12,Inyo,INLAND,18281,7565,25159,100794
13,Kern,INLAND,528995,179480,30395,84960
14,Kings,INLAND,90471,28617,26931,77963
15,Lake,<1H OCEAN,50363,20715,23639,94952
16,Lassen,INLAND,27214,8543,27049,76176
17,Los Angeles,<1H OCEAN,8777895,2970038,43788,255083
18,Madera,INLAND,90967,29446,28228,89203
19,Marin,<1H OCEAN,223965,94848,55641,359293
20,Mariposa,INLAND,14302,5604,26091,100178
21,Mendocino,<1H OCEAN,79891,30231,26864,122931
22,Merced,INLAND,176457,55077,26798,94462
23,Modoc,INLAND,9678,3711,22668,51162
24,Mono,INLAND,9956,3961,32954,155191
25,Monterey,<1H OCEAN,346310,112784,38735,227568
26,Napa,<1H OCEAN,108030,41264,39798,210965
27,Nevada,INLAND,78510,30747,32913,150322
28,Orange,<1H OCEAN,2365377,812592,53129,272489
29,Placer,INLAND,173793,64326,39368,172386
30,Plumas,INLAND,19739,8125,26342,97109
31,Riverside,<1H OCEAN,1159159,400110,34210,141866
32,Sacramento,INLAND,1038540,393377,35381,137383
33,San Benito,<1H OCEAN,36697,11422,35586,218650
34,San Bernardino,<1H OCEAN,1409591,465039,34675,127913
35,San Diego,<1H OCEAN,2445449,882672,41097,208850
36,San Joaquin,INLAND,477524,157688,32845,130474
37,San Luis Obispo,<1H OCEAN,215857,79734,32509,217929
38,San Mateo,NEAR BAY,636452,238807,57623,356874
39,Santa Barbara,<1H OCEAN,356294,125486,42938,274577
40,Santa Clara,<1H OCEAN,1486054,518634,55196,309327
41,Santa Cruz,<1H OCEAN,220989,80099,42691,261549
42,Shasta,INLAND,147036,55966,26161,91451
43,Sierra,INLAND,3318,1336,25626,79650
44,Siskiyou,INLAND,43531,17302,21730,68233
45,Solano,INLAND,335352,112596,40955,155272
46,Sonoma,<1H OCEAN,386813,149006,37876,211934
47,Stanislaus,INLAND,370481,125365,30382,133591
48,Sutter,INLAND,64415,23111,29033,101283
49,Tehama,INLAND,49625,18704,24453,73288
50,Trinity,INLAND,13063,5156,20073,70718
51,Tulare,INLAND,309025,97400,25904,79152
52,Tuolumne,INLAND,48456,17953,28035,124328
53,Ventura,<1H OCEAN,663408,215793,47464,261187
54,Yolo,INLAND,138342,49868,30126,140261
55,Yuba,INLAND,58228,19776,23159,76391
